,fileroot,fileext,filesize,entropy
0,/Users/ravis/Downloads/NapierOne-tiny/0041-zip-ppmd,.zip,724104,19.18364858432772
1,/Users/ravis/Downloads/NapierOne-tiny/0067-exe,.exe,970752,19.19009946539759
2,/Users/ravis/Downloads/NapierOne-tiny/0030-gz,.gz,160459,17.016338268956442
3,/Users/ravis/Downloads/NapierOne-tiny/0014-zip-ppmd,.zip,6204125,22.28425858692032
4,/Users/ravis/Downloads/NapierOne-tiny/0039-zip-encrypted,.zip,875911,19.4592839599509
5,/Users/ravis/Downloads/NapierOne-tiny/0001-pptx.pptx.id-0481FA80.[paymentbtc@firemail.cc],.cmb,362352,18.184562884206525
6,/Users/ravis/Downloads/NapierOne-tiny/0075-gz,.gz,3033464,21.256045744492205
7,/Users/ravis/Downloads/NapierOne-tiny/0077-exe,.exe,759176,18.58621422246802
8,/Users/ravis/Downloads/NapierOne-tiny/0090-rand-pseudo,.rand,820,9.385459728608138
9,/Users/ravis/Downloads/NapierOne-tiny/0021-zip-deflate,.zip,8097001,22.673289377089066
10,/Users/ravis/Downloads/NapierOne-tiny/0054-7z-encrypted,.7z,891576,19.485045111742686
11,/Users/ravis/Downloads/NapierOne-tiny/0013-ods,.ods,750004,19.22473168722546
12,/Users/ravis/Downloads/NapierOne-tiny/0076-rand-pseudo,.rand,799,9.375868416085774
13,/Users/ravis/Downloads/NapierOne-tiny/0077-zip-encrypted,.zip,933297,19.55033338332585
14,/Users/ravis/Downloads/NapierOne-tiny/0063-dll,.dll,1256,9.947986314767014
15,/Users/ravis/Downloads/NapierOne-tiny/JPG-q001-tiny,.zip,3305892,21.381006217119097
16,/Users/ravis/Downloads/NapierOne-tiny/0078-png-c5,.png,1825081,20.521045521557724
17,/Users/ravis/Downloads/NapierOne-tiny/0048-rand-pseudo,.rand,801,9.352525088741507
18,/Users/ravis/Downloads/NapierOne-tiny/0055-jpg-q001,.jpg,7342,11.736948035074738
19,/Users/ravis/Downloads/NapierOne-tiny/0093-pptx-nomagic,.pptx,8041186,22.641962623261122
20,/Users/ravis/Downloads/NapierOne-tiny/0003-ods,.ods,689573,19.10652332068318
21,/Users/ravis/Downloads/NapierOne-tiny/0073-dll,.dll,5129888,21.692898222807603
22,/Users/ravis/Downloads/NapierOne-tiny/EXE-tiny,.zip,277964741,27.769748790556168
23,/Users/ravis/Downloads/NapierOne-tiny/0065-bmp,.bmp,2289846,21.031640640704993
24,/Users/ravis/Downloads/NapierOne-tiny/0006-jpg-fromweb.jpg,.RYK,20786,14.05715816782279
25,/Users/ravis/Downloads/NapierOne-tiny/0074-svg-from-web,.svg,587,9.042866711882622
